graph_type,size,objective_value,time_ms,iterations,branch_and_bound_nodes
complete,10,2.0,7,0,0
complete,10,2.0,7,0,0
complete,100,2.0,179,0,0
complete,100,2.0,138,0,0
cycle,10,7.0,8,0,0
cycle,10,7.0,6,0,0
cycle,100,67.0,113,0,0
cycle,100,67.0,123,0,0
star,11,2.0,6,0,0
star,11,2.0,5,0,0
star,101,2.0,26,0,0
star,101,2.0,27,0,0
path,10,7.0,9,0,0
path,10,7.0,6,0,0
path,100,67.0,131,0,0
path,100,67.0,170,0,0
binomial tree,4,3.0,5,0,0
binomial tree,4,3.0,4,0,0
binomial tree,16,12.0,9,0,0
binomial tree,16,12.0,6,0,0
binomial graph (0.4),10,5.0,9,0,0
binomial graph (0.4),10,4.0,7,0,0
binomial graph (0.4),100,8.0,21541,0,0
binomial graph (0.4),100,8.0,51806,0,0
binomial graph (0.3),10,5.0,8,0,0
binomial graph (0.3),10,5.0,7,0,0
binomial graph (0.3),100,10.0,93653,0,0
binomial graph (0.3),100,10.0,146075,0,0
