graph_type,size,probabilities,objective_value,time_ms,iterations,branch_and_bound_nodes
gnp_random_graph,10,0.5,4.0,8,0,0
gnp_random_graph,10,0.8,2.0,6,0,0
gnp_random_graph,20,0.5,5.0,15,0,0
gnp_random_graph,20,0.8,3.0,15,0,0
gnp_random_graph,40,0.5,6.0,221,0,0
gnp_random_graph,40,0.8,4.0,68,0,0
gnp_random_graph,80,0.5,6.0,7269,0,0
gnp_random_graph,80,0.8,4.0,189,0,0
gnp_random_graph,100,0.5,7.0,19279,0,0
gnp_random_graph,100,0.8,4.0,313,0,0
gnp_random_graph,10,0.5,4.0,9,0,0
gnp_random_graph,10,0.8,2.0,6,0,0
gnp_random_graph,20,0.5,4.0,14,0,0
gnp_random_graph,20,0.8,3.0,15,0,0
gnp_random_graph,40,0.5,6.0,176,0,0
gnp_random_graph,40,0.8,4.0,52,0,0
gnp_random_graph,80,0.5,6.0,10767,0,0
gnp_random_graph,80,0.8,4.0,737,0,0
gnp_random_graph,100,0.5,7.0,36427,0,0
gnp_random_graph,100,0.8,4.0,779,0,0
gnp_random_graph,10,0.5,4.0,29,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,5.0,46,0,0
gnp_random_graph,20,0.8,4.0,57,0,0
gnp_random_graph,40,0.5,5.0,123,0,0
gnp_random_graph,40,0.8,4.0,121,0,0
gnp_random_graph,80,0.5,7.0,15317,0,0
gnp_random_graph,80,0.8,4.0,475,0,0
gnp_random_graph,100,0.5,7.0,30521,0,0
gnp_random_graph,100,0.8,4.0,797,0,0
gnp_random_graph,10,0.5,4.0,19,0,0
gnp_random_graph,10,0.8,2.0,25,0,0
gnp_random_graph,20,0.5,5.0,39,0,0
gnp_random_graph,20,0.8,3.0,45,0,0
gnp_random_graph,40,0.5,6.0,317,0,0
gnp_random_graph,40,0.8,4.0,145,0,0
gnp_random_graph,80,0.5,6.0,6239,0,0
gnp_random_graph,80,0.8,4.0,562,0,0
gnp_random_graph,100,0.5,6.0,15261,0,0
gnp_random_graph,100,0.8,4.0,1016,0,0
gnp_random_graph,10,0.5,4.0,22,0,0
gnp_random_graph,10,0.8,2.0,17,0,0
gnp_random_graph,20,0.5,5.0,37,0,0
gnp_random_graph,20,0.8,2.0,28,0,0
gnp_random_graph,40,0.5,5.0,219,0,0
gnp_random_graph,40,0.8,4.0,143,0,0
gnp_random_graph,80,0.5,6.0,10091,0,0
gnp_random_graph,80,0.8,4.0,483,0,0
gnp_random_graph,100,0.5,8.0,188182,0,0
gnp_random_graph,100,0.8,4.0,662,0,0
gnp_random_graph,10,0.5,4.0,24,0,0
gnp_random_graph,10,0.8,2.0,25,0,0
gnp_random_graph,20,0.5,4.0,33,0,0
gnp_random_graph,20,0.8,3.0,35,0,0
gnp_random_graph,40,0.5,6.0,284,0,0
gnp_random_graph,40,0.8,4.0,133,0,0
gnp_random_graph,80,0.5,6.0,6689,0,0
gnp_random_graph,80,0.8,4.0,556,0,0
gnp_random_graph,100,0.5,7.0,23865,0,0
gnp_random_graph,100,0.8,4.0,791,0,0
gnp_random_graph,10,0.5,4.0,17,0,0
gnp_random_graph,10,0.8,2.0,19,0,0
gnp_random_graph,20,0.5,4.0,42,0,0
gnp_random_graph,20,0.8,2.0,45,0,0
gnp_random_graph,40,0.5,6.0,286,0,0
gnp_random_graph,40,0.8,4.0,98,0,0
gnp_random_graph,80,0.5,7.0,7965,0,0
gnp_random_graph,80,0.8,4.0,451,0,0
gnp_random_graph,100,0.5,7.0,33363,0,0
gnp_random_graph,100,0.8,4.0,685,0,0
gnp_random_graph,10,0.5,5.0,20,0,0
gnp_random_graph,10,0.8,3.0,21,0,0
gnp_random_graph,20,0.5,4.0,29,0,0
gnp_random_graph,20,0.8,3.0,45,0,0
gnp_random_graph,40,0.5,6.0,241,0,0
gnp_random_graph,40,0.8,4.0,144,0,0
gnp_random_graph,80,0.5,6.0,7015,0,0
gnp_random_graph,80,0.8,4.0,662,0,0
gnp_random_graph,100,0.5,6.0,18426,0,0
gnp_random_graph,100,0.8,4.0,292,0,0
gnp_random_graph,10,0.5,4.0,5,0,0
gnp_random_graph,10,0.8,2.0,7,0,0
gnp_random_graph,20,0.5,4.0,13,0,0
gnp_random_graph,20,0.8,3.0,10,0,0
gnp_random_graph,40,0.5,6.0,55,0,0
gnp_random_graph,40,0.8,4.0,56,0,0
gnp_random_graph,80,0.5,6.0,2618,0,0
gnp_random_graph,80,0.8,4.0,197,0,0
gnp_random_graph,10,0.5,4.0,10,0,0
gnp_random_graph,10,0.8,3.0,7,0,0
gnp_random_graph,20,0.5,5.0,16,0,0
gnp_random_graph,20,0.8,2.0,10,0,0
gnp_random_graph,40,0.5,6.0,94,0,0
gnp_random_graph,40,0.8,4.0,49,0,0
gnp_random_graph,80,0.5,6.0,1077,0,0
gnp_random_graph,80,0.8,4.0,274,0,0
gnp_random_graph,100,0.5,6.0,6836,0,0
gnp_random_graph,100,0.8,4.0,351,0,0
gnp_random_graph,10,0.5,3.0,5,0,0
gnp_random_graph,10,0.8,3.0,6,0,0
gnp_random_graph,20,0.5,5.0,12,0,0
gnp_random_graph,20,0.8,3.0,26,0,0
gnp_random_graph,40,0.5,5.0,32,0,0
gnp_random_graph,40,0.8,4.0,55,0,0
gnp_random_graph,80,0.5,6.0,5203,0,0
gnp_random_graph,80,0.8,4.0,518,0,0
gnp_random_graph,100,0.5,6.0,17407,0,0
gnp_random_graph,100,0.8,4.0,832,0,0
gnp_random_graph,10,0.5,4.0,14,0,0
gnp_random_graph,10,0.8,2.0,26,0,0
gnp_random_graph,20,0.5,4.0,37,0,0
gnp_random_graph,20,0.8,2.0,27,0,0
gnp_random_graph,40,0.5,6.0,382,0,0
gnp_random_graph,40,0.8,4.0,135,0,0
gnp_random_graph,80,0.5,6.0,4345,0,0
gnp_random_graph,80,0.8,4.0,458,0,0
gnp_random_graph,100,0.5,7.0,29635,0,0
gnp_random_graph,100,0.8,4.0,725,0,0
gnp_random_graph,10,0.5,5.0,27,0,0
gnp_random_graph,10,0.8,2.0,22,0,0
gnp_random_graph,20,0.5,4.0,35,0,0
gnp_random_graph,20,0.8,3.0,39,0,0
gnp_random_graph,40,0.5,6.0,275,0,0
gnp_random_graph,40,0.8,4.0,100,0,0
gnp_random_graph,80,0.5,6.0,7746,0,0
gnp_random_graph,80,0.8,4.0,479,0,0
gnp_random_graph,100,0.5,7.0,31271,0,0
gnp_random_graph,100,0.8,4.0,697,0,0
gnp_random_graph,10,0.5,3.0,21,0,0
gnp_random_graph,10,0.8,2.0,25,0,0
gnp_random_graph,20,0.5,4.0,37,0,0
gnp_random_graph,20,0.8,3.0,48,0,0
gnp_random_graph,40,0.5,6.0,261,0,0
gnp_random_graph,40,0.8,4.0,135,0,0
gnp_random_graph,80,0.5,7.0,15411,0,0
gnp_random_graph,80,0.8,4.0,493,0,0
gnp_random_graph,100,0.5,6.0,30079,0,0
gnp_random_graph,100,0.8,4.0,745,0,0
gnp_random_graph,10,0.5,4.0,27,0,0
gnp_random_graph,10,0.8,2.0,24,0,0
gnp_random_graph,20,0.5,5.0,41,0,0
gnp_random_graph,20,0.8,3.0,52,0,0
gnp_random_graph,40,0.5,6.0,269,0,0
gnp_random_graph,40,0.8,4.0,118,0,0
gnp_random_graph,80,0.5,6.0,6517,0,0
gnp_random_graph,80,0.8,4.0,627,0,0
gnp_random_graph,100,0.5,7.0,127993,0,0
gnp_random_graph,100,0.8,4.0,609,0,0
gnp_random_graph,10,0.5,2.0,18,0,0
gnp_random_graph,10,0.8,3.0,17,0,0
gnp_random_graph,20,0.5,5.0,47,0,0
gnp_random_graph,20,0.8,2.0,38,0,0
gnp_random_graph,40,0.5,6.0,241,0,0
gnp_random_graph,40,0.8,4.0,89,0,0
gnp_random_graph,80,0.5,6.0,1336,0,0
gnp_random_graph,80,0.8,4.0,428,0,0
gnp_random_graph,100,0.5,7.0,37884,0,0
gnp_random_graph,100,0.8,4.0,857,0,0
gnp_random_graph,10,0.5,4.0,16,0,0
gnp_random_graph,10,0.8,2.0,20,0,0
gnp_random_graph,20,0.5,4.0,48,0,0
gnp_random_graph,20,0.8,3.0,37,0,0
gnp_random_graph,40,0.5,6.0,297,0,0
gnp_random_graph,40,0.8,4.0,133,0,0
